1	aa	8	1	1
1	aa	9	1	2
1	aa	8	1	8
1	aa	9	1	4
1	bb	8	1	5
1	bb	9	1	8
1	bb	8	1	0
1	bb	9	1	0
2	aa	8	1	6
2	aa	9	1	12
2	aa	8	1	3
2	aa	9	1	4
2	bb	8	1	6
2	bb	9	1	8
2	bb	8	1	4
2	bb	9	1	6
3	aa	8	1	9
3	aa	9	1	5
3	aa	8	1	12
3	aa	9	1	7
3	bb	8	1	9
3	bb	9	1	7
3	bb	8	1	6
3	bb	9	1	3
4	aa	8	2	2
4	aa	9	2	1
4	aa	8	2	4
4	aa	9	2	2
4	bb	8	2	4.
4	bb	9	2	2.
4	bb	8	2	1.
4	bb	9	2	3.
5	aa	8	2	6.
5	aa	9	2	8.
5	aa	8	2	6.
5	aa	9	2	8.
5	bb	8	2	9.
5	bb	9	2	0.
5	bb	8	2	8.
5	bb	9	2	7.
6	aa	8	2	9.
6	aa	9	2	6.
6	aa	8	2	5.
6	aa	9	2	8.
6	bb	8	2	5.
6	bb	9	2	3.
6	bb	8	2	2.
6	bb	9	2	5.
